index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
832,CS Asia Championships 2023,2023-11-11,lynn vision,mouz,-1,6,L,50.5,20.6
833,CCT East Europe Series 4,2023-11-10,metizport,mouz nxt,29,-1,W,51.857142857142854,20.7
834,CCT East Europe Series 4,2023-11-10,9 pandas,space,23,-1,W,51.857142857142854,26.0
835,CCT Central Europe Series 8,2023-11-09,sinners,betboom,-1,30,L,53.5,25.6
836,CCT East Europe Series 4,2023-11-09,ecstatic,the witchers,18,-1,L,63.833333333333336,23.4
837,CCT Central Europe Series 8,2023-11-09,betboom,arcred,30,-1,W,53.0,22.0
838,CCT Central Europe Series 8,2023-11-09,9 pandas,sinners,23,-1,L,51.857142857142854,26.0
839,YaLLa Compass Fall 2023 Contenders,2023-11-09,ecstatic,eclot,18,-1,W,63.833333333333336,23.4
840,CS Asia Championships 2023,2023-11-09,mouz,faze,6,1,L,57.5,20.5
841,CS Asia Championships 2023,2023-11-09,faze,ninjas in pyjamas,1,-1,W,55.714285714285715,26.6
842,CS Asia Championships 2023,2023-11-09,mouz,wings up,6,-1,W,57.5,20.5
843,ESL Challenger League Season 46 Europe,2023-11-08,saw,forze,17,-1,L,70.0,26.1
844,ESL Challenger League Season 46 Europe,2023-11-08,sinners,monte,-1,22,W,53.5,25.6
845,CCT East Europe Series 4,2023-11-08,ecstatic,project g,18,-1,L,63.833333333333336,23.4
846,ESL Challenger League Season 46 Europe,2023-11-08,apeks,spirit,20,3,L,39.166666666666664,25.7
847,ESL Challenger League Season 46 Europe,2023-11-08,the prodigies,movistar riders,-1,-1,L,39.166666666666664,25.7
848,CCT East Europe Series 4,2023-11-08,metizport,space,29,-1,W,51.857142857142854,20.7
849,CCT Central Europe Series 8,2023-11-08,betboom,b8,30,-1,W,53.0,22.0
850,CCT Central Europe Series 8,2023-11-08,aurora,9 pandas,28,23,L,68.5,22.4
851,CCT Central Europe Series 8,2023-11-08,ecstatic,sinners,18,-1,L,63.833333333333336,23.4
852,CS Asia Championships 2023,2023-11-08,ence,astralis,12,25,L,50.5,25.6
853,CCT East Europe Series 4,2023-11-08,9 pandas,mouz nxt,23,-1,L,51.857142857142854,26.0
854,CS Asia Championships 2023,2023-11-08,astralis,lynn vision,25,-1,W,60.333333333333336,22.6
855,CS Asia Championships 2023,2023-11-08,ence,tyloo,12,-1,W,50.5,25.6
856,ESL Challenger League Season 46 Europe,2023-11-07,spirit,space,3,-1,W,74.16666666666667,21.3
857,ESL Challenger League Season 46 Europe,2023-11-07,forze,movistar riders,-1,-1,W,1,0
858,ESL Challenger League Season 46 Europe,2023-11-07,monte,looking4org,22,-1,L,43.5,21.3
859,ESL Challenger League Season 46 Europe,2023-11-07,saw,the prodigies,17,-1,W,70.0,26.1
860,CCT Central Europe Series 8,2023-11-07,9 pandas,permitta,23,-1,W,51.857142857142854,26.0
861,YaLLa Compass Fall 2023 Contenders,2023-11-07,ecstatic,ikla,18,-1,L,63.833333333333336,23.4
862,CCT Central Europe Series 8,2023-11-07,betboom,eyeballers,30,-1,W,53.0,22.0
863,CCT Central Europe Series 8,2023-11-06,ecstatic,preasy,18,-1,W,63.833333333333336,23.4
864,ESL Challenger League Season 46 Europe,2023-11-06,1win,apeks,-1,20,L,63.833333333333336,23.4
865,ESL Challenger League Season 46 Europe,2023-11-06,rubik,falcons,-1,10,W,63.833333333333336,23.4
866,CCT Central Europe Series 8,2023-11-06,saw,sinners,17,-1,L,70.0,26.1
867,YaLLa Compass Fall 2023 Contenders,2023-11-06,metizport,eclot,29,-1,L,51.857142857142854,20.7
868,Thunderpick World Championship 2023,2023-11-05,faze,virtus.pro,1,9,W,55.714285714285715,26.6
869,CCT East Europe Series 4,2023-11-05,ecstatic,spirit academy,18,-1,W,63.833333333333336,23.4
870,CCT East Europe Series 4,2023-11-05,metizport,the witchers,29,-1,W,51.857142857142854,20.7
871,CCT East Europe Series 4,2023-11-05,9 pandas,500,23,-1,W,51.857142857142854,26.0
872,CBCS 2023 Season 3,2023-11-04,pain,legacy,14,24,L,69.66666666666667,22.0
873,Thunderpick World Championship 2023,2023-11-04,monte,virtus.pro,22,9,L,43.5,21.3
874,CBCS 2023 Season 3,2023-11-04,sharks,legacy,-1,24,L,52.0,23.0
