index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
942,CBCS 2023 Season 3,2023-10-28,solid,legacy,-1,24,L,41.833333333333336,0
943,CBCS 2023 Season 3,2023-10-27,pain,red canids,14,-1,W,69.66666666666667,22.0
944,Thunderpick World Championship 2023,2023-10-27,faze,saw,1,17,W,55.714285714285715,26.6
945,Roobet Cup 2023,2023-10-27,aurora,eternal fire,28,8,W,68.5,22.4
946,ESL Challenger League Season 46 Europe,2023-10-27,monte,falcons,22,10,W,43.5,21.3
947,Roobet Cup 2023,2023-10-27,9z,spirit,-1,3,W,61.5,22.6
948,Copa BetBoom 2023,2023-10-27,legacy,flamengo,24,-1,L,52.285714285714285,23.7
949,Thunderpick World Championship 2023,2023-10-27,ninjas in pyjamas,virtus.pro,-1,9,L,66.83333333333333,0
950,Roobet Cup 2023,2023-10-27,heroic,furia,11,15,L,58.166666666666664,24.2
951,Roobet Cup 2023,2023-10-27,movistar riders,virtus.pro,-1,9,L,57.833333333333336,25.7
952,Thunderpick World Championship 2023,2023-10-27,monte,wildcard,22,-1,W,43.5,21.3
953,CCT East Europe Series 3,2023-10-27,ecstatic,looking4org,18,-1,L,63.833333333333336,23.4
954,Thunderpick World Championship 2023,2023-10-27,cloud9,fnatic,7,-1,W,54.333333333333336,25.4
955,CBCS 2023 Season 3,2023-10-27,fluxo,imperial,-1,19,W,55.0,24.5
956,CCT East Europe Series 3,2023-10-26,virtus.pro,ecstatic,9,18,L,65.5,24.3
957,Roobet Cup 2023,2023-10-26,big,apeks,-1,20,W,43.0,24.7
958,CCT East Europe Series 3,2023-10-26,falcons,looking4org,10,-1,L,44.166666666666664,28.4
959,CBCS 2023 Season 3,2023-10-26,legacy,o plano,24,-1,W,52.285714285714285,23.7
960,Roobet Cup 2023,2023-10-26,astralis,9ine,25,-1,L,60.333333333333336,22.6
961,Roobet Cup 2023,2023-10-26,monte,og,22,-1,W,43.5,21.3
962,Copa BetBoom 2023,2023-10-26,pain,red canids,14,-1,W,69.66666666666667,22.0
963,CCT East Europe Series 3,2023-10-26,9 pandas,preasy,23,-1,L,51.857142857142854,26.0
964,YaLLa Compass Fall 2023 Contenders,2023-10-26,ecstatic,eyeballers,18,-1,L,63.833333333333336,23.4
965,ESL Challenger League Season 46 Europe,2023-10-26,monte,b8,22,-1,W,43.5,21.3
966,CBCS 2023 Season 3,2023-10-25,pain,c4 base,14,-1,W,69.66666666666667,22.0
967,CBCS 2023 Season 3,2023-10-25,imperial,oddik,19,-1,W,70.66666666666667,24.0
968,Roobet Cup 2023,2023-10-25,eternal fire,furia,8,15,L,59.0,26.5
969,Roobet Cup 2023,2023-10-25,virtus.pro,spirit,9,3,W,65.5,24.3
970,ESL Challenger League Season 46 Europe,2023-10-25,saw,eyeballers,17,-1,L,70.0,26.1
971,ESL Challenger League Season 46 Europe,2023-10-25,9ine,movistar riders,-1,-1,L,70.0,26.1
972,Copa BetBoom 2023,2023-10-25,pain,oddik,14,-1,W,69.66666666666667,22.0
973,Roobet Cup 2023,2023-10-25,heroic,aurora,11,28,W,58.166666666666664,24.2
974,CCT North Europe Series 8,2023-10-25,spirit,big,3,-1,L,74.16666666666667,21.3
975,Roobet Cup 2023,2023-10-25,movistar riders,9z,-1,-1,W,57.833333333333336,25.7
976,ESL Challenger League Season 46 Europe,2023-10-25,apeks,sangal,20,-1,W,39.166666666666664,25.7
977,CCT East Europe Series 3,2023-10-25,betboom,falcons,30,10,L,53.0,22.0
978,CCT North Europe Series 8,2023-10-25,anonymo,big,-1,-1,L,53.0,22.0
979,CCT North Europe Series 8,2023-10-25,spirit,9ine,3,-1,W,74.16666666666667,21.3
980,ESL Challenger Atlanta 2023 South America Closed Qualifier,2023-10-25,imperial,bestia,19,-1,L,70.66666666666667,24.0
981,ESL Challenger League Season 46 Europe,2023-10-24,forze,falcons,-1,10,W,1,0
982,CCT North Europe Series 8,2023-10-24,big,sprout,-1,-1,W,43.0,24.7
983,CCT East Europe Series 3,2023-10-24,virtus.pro,metizport,9,29,W,65.5,24.3
984,Copa BetBoom 2023,2023-10-24,imperial,sharks,19,-1,W,70.66666666666667,24.0
985,CCT East Europe Series 3,2023-10-24,big,9 pandas,-1,23,L,43.0,24.7
986,CCT North Europe Series 8,2023-10-24,spirit,into the breach,3,-1,W,74.16666666666667,21.3
987,CCT East Europe Series 3,2023-10-24,alternate attax,ecstatic,-1,18,L,38.5,23.6
988,ESL Challenger Atlanta 2023 South America Closed Qualifier,2023-10-24,imperial,oddik,19,-1,W,70.66666666666667,24.0
989,ESL Challenger Atlanta 2023 South America Closed Qualifier,2023-10-23,red canids,imperial,-1,19,L,58.5,0
990,Copa BetBoom 2023,2023-10-23,case,legacy,-1,24,W,50.5,22.5
991,YaLLa Compass Fall 2023 Contenders,2023-10-23,500,metizport,-1,29,W,45.166666666666664,23.7
992,CCT North Europe Series 8,2023-10-23,9ine,falcons,-1,10,W,45.166666666666664,23.7
993,ESL Challenger Atlanta 2023 South America Open Qualifier,2023-10-23,oddik,legacy,-1,24,W,40.833333333333336,25.2
994,CCT East Europe Series 3,2023-10-22,9 pandas,verdant,23,-1,W,51.857142857142854,26.0
995,CCT North Europe Series 8,2023-10-22,spirit,permitta,3,-1,W,74.16666666666667,21.3
996,Copa BetBoom 2023,2023-10-22,boca juniors,imperial,-1,19,L,74.16666666666667,21.3
997,CCT East Europe Series 3,2023-10-22,sprout,falcons,-1,10,L,74.16666666666667,21.3
998,A1 Gaming League Season 7,2023-10-22,arcred,metizport,-1,29,L,39.0,22.3
999,CCT North Europe Series 8,2023-10-22,big,aurora young blud,-1,-1,W,43.0,24.7
1000,CCT East Europe Series 3,2023-10-22,m80,metizport,-1,29,L,51.857142857142854,23.0
1001,IEM Sydney 2023,2023-10-22,complexity,faze,13,1,L,41.0,24.6
1002,ESL Challenger Atlanta 2023 South America Open Qualifier,2023-10-22,legacy,o plano,24,-1,W,52.285714285714285,23.7
1003,ESL Challenger Atlanta 2023 South America Open Qualifier,2023-10-22,pain,oddik,14,-1,L,69.66666666666667,22.0
1004,ESL Challenger Atlanta 2023 South America Open Qualifier,2023-10-22,2game,legacy,-1,24,L,22.166666666666668,26.2
1005,ESL Challenger Atlanta 2023 South America Open Qualifier,2023-10-22,ajf,pain,-1,14,L,22.166666666666668,26.2
1006,Copa BetBoom 2023,2023-10-21,flamengo,legacy,-1,24,L,48.166666666666664,25.0
1007,CCT East Europe Series 3,2023-10-21,9 pandas,forze,23,-1,L,51.857142857142854,26.0
1008,IEM Sydney 2023,2023-10-21,mouz,faze,6,1,L,57.5,20.5
1009,IEM Sydney 2023,2023-10-21,g2,complexity,5,13,L,52.0,26.0
1010,ESL Challenger Jönköping 2023 South America Closed Qualifier,2023-10-21,sharks,mibr,-1,27,L,52.0,23.0
1011,ESL Challenger Jönköping 2023 South America Closed Qualifier,2023-10-20,red canids,mibr,-1,27,L,58.5,0
1012,CCT East Europe Series 3,2023-10-20,falcons,the prodigies se,10,-1,W,44.166666666666664,28.4
1013,ESL Challenger League Season 46 Europe,2023-10-20,spirit,looking4org,3,-1,W,74.16666666666667,21.3
1014,CCT East Europe Series 3,2023-10-20,permitta,metizport,-1,29,L,55.833333333333336,24.7
1015,IEM Sydney 2023,2023-10-20,ence,faze,12,1,L,50.5,25.6
1016,IEM Sydney 2023,2023-10-20,betboom,complexity,30,13,L,53.0,22.0
1017,ESL Challenger Jönköping 2023 South America Closed Qualifier,2023-10-20,9z,mibr,-1,27,L,61.5,22.6
1018,ESL Challenger Jönköping 2023 South America Closed Qualifier,2023-10-19,sharks,mibr,-1,27,W,52.0,23.0
1019,ESL Challenger League Season 46 Europe,2023-10-19,spirit,pompa,3,-1,W,74.16666666666667,21.3
1020,CCT East Europe Series 3,2023-10-19,9 pandas,ecstatic,23,18,L,51.857142857142854,26.0
1021,CCT East Europe Series 3,2023-10-19,falcons,forze,10,-1,L,44.166666666666664,28.4
1022,YaLLa Compass Fall 2023 Contenders,2023-10-19,anonymo,ecstatic,-1,18,L,44.166666666666664,28.4
1023,ESL Challenger League Season 46 Europe,2023-10-18,movistar riders,orks,-1,-1,L,57.833333333333336,25.7
1024,CCT East Europe Series 3,2023-10-18,sprout,metizport,-1,29,W,57.833333333333336,25.7
1025,ESL Challenger League Season 46 Europe,2023-10-18,spirit,eyeballers,3,-1,W,74.16666666666667,21.3
1026,ESL Challenger League Season 46 Europe,2023-10-18,saw,rubik,17,-1,W,70.0,26.1
1027,IEM Sydney 2023,2023-10-18,monte,complexity,22,13,L,43.5,21.3
1028,IEM Sydney 2023,2023-10-18,g2,ence,5,12,W,52.0,26.0
1029,IEM Sydney 2023,2023-10-18,mouz,betboom,6,30,W,57.5,20.5
1030,IEM Sydney 2023,2023-10-18,gamerlegion,faze,21,1,L,33.57142857142857,22.9
1031,IEM Sydney 2023,2023-10-18,complexity,cloud9,13,7,W,41.0,24.6
1032,IEM Sydney 2023,2023-10-18,monte,fnatic,22,-1,W,43.5,21.3
1033,CCT East Europe Series 3,2023-10-17,sprout,ecstatic,-1,18,L,43.5,21.3
1034,YaLLa Compass Fall 2023 Contenders,2023-10-17,tsm,metizport,-1,29,W,46.42857142857143,23.3
1035,CCT East Europe Series 3,2023-10-17,9 pandas,metizport,23,29,W,51.857142857142854,26.0
1036,IEM Sydney 2023,2023-10-17,natus vincere,faze,2,1,L,67.66666666666667,23.4
1037,IEM Sydney 2023,2023-10-17,apeks,gamerlegion,20,21,L,39.166666666666664,25.7
1038,IEM Sydney 2023,2023-10-17,ence,fnatic,12,-1,W,50.5,25.6
1039,IEM Sydney 2023,2023-10-17,lynn vision,cloud9,-1,7,L,50.5,20.6
1040,IEM Sydney 2023,2023-10-17,monte,grayhound,22,-1,W,43.5,21.3
1041,IEM Sydney 2023,2023-10-17,complexity,g2,13,5,L,41.0,24.6
1042,IEM Sydney 2023,2023-10-16,vitality,faze,4,1,L,59.0,24.9
1043,CCT East Europe Series 3,2023-10-16,falcons,500,10,-1,W,44.166666666666664,28.4
1044,IEM Sydney 2023,2023-10-16,betboom,gamerlegion,30,21,W,53.0,22.0
1045,IEM Sydney 2023,2023-10-16,natus vincere,mouz,2,6,L,67.66666666666667,23.4
1046,IEM Sydney 2023,2023-10-16,apeks,vertex,20,-1,W,39.166666666666664,25.7
1047,IEM Sydney 2023,2023-10-16,monte,complexity,22,13,L,43.5,21.3
1048,IEM Sydney 2023,2023-10-16,g2,grayhound,5,-1,W,52.0,26.0
1049,IEM Sydney 2023,2023-10-16,fnatic,cloud9,-1,7,W,51.714285714285715,24.6
1050,IEM Sydney 2023,2023-10-16,ence,lynn vision,12,-1,W,50.5,25.6
1051,IEM Sydney 2023,2023-10-16,faze,gamerlegion,1,21,L,55.714285714285715,26.6
1052,IEM Sydney 2023,2023-10-16,vitality,betboom,4,30,L,59.0,24.9
1053,IEM Sydney 2023,2023-10-16,natus vincere,apeks,2,20,W,67.66666666666667,23.4
1054,IEM Sydney 2023,2023-10-16,mouz,vertex,6,-1,W,57.5,20.5
1055,CCT South America Series 12,2023-10-15,selva,pain,-1,14,W,57.5,20.5
1056,Brasil Game Show 2023,2023-10-15,w7m,furia,-1,15,L,41.5,22.0
1057,CCT East Europe Series 3,2023-10-15,falcons,sampi,10,-1,L,44.166666666666664,28.4
1058,CCT East Europe Series 3,2023-10-15,forze,metizport,-1,29,L,1,0
1059,CCT East Europe Series 3,2023-10-15,00nation,ecstatic,-1,18,L,1,0
1060,Brasil Game Show 2023,2023-10-15,furia,pain,15,14,W,60.166666666666664,27.1
1061,CCT East Europe Series 3,2023-10-14,9 pandas,the prodigies se,23,-1,W,51.857142857142854,26.0
1062,A1 Gaming League Season 7,2023-10-14,500,metizport,-1,29,L,45.166666666666664,23.7
1063,CCT South America Series 12,2023-10-14,pain,uno mille,14,-1,W,69.66666666666667,22.0
1064,ESL Challenger League Season 46 Europe,2023-10-13,saw,looking4org,17,-1,L,70.0,26.1
1065,ESL Challenger League Season 46 Europe,2023-10-13,1win,movistar riders,-1,-1,W,70.0,26.1
1066,ESL Challenger League Season 46 Europe,2023-10-12,falcons,parivision,10,-1,L,44.166666666666664,28.4
1067,CCT South America Series 12,2023-10-12,pain,corinthians,14,-1,W,69.66666666666667,22.0
1068,ESL Challenger Jönköping 2023 South America Open Qualifier,2023-10-12,imperial,boca juniors,19,-1,L,70.66666666666667,24.0
1069,ESL Challenger Jönköping 2023 South America Open Qualifier,2023-10-12,pain,uno mille,14,-1,L,69.66666666666667,22.0
1070,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-11,spirit,looking4org,3,-1,L,74.16666666666667,21.3
1071,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-11,movistar riders,looking4org,-1,-1,L,57.833333333333336,25.7
1072,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-10,spirit,movistar riders,3,-1,W,74.16666666666667,21.3
1073,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-10,looking4org,apeks,-1,20,W,74.16666666666667,21.3
1074,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,apeks,movistar riders,20,-1,L,39.166666666666664,25.7
1075,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,looking4org,big,-1,-1,W,39.166666666666664,25.7
1076,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,spirit,the chosen few,3,-1,W,74.16666666666667,21.3
1077,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,the chosen few,big,-1,-1,W,74.16666666666667,21.3
1078,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,spirit,looking4org,3,-1,W,74.16666666666667,21.3
1079,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,movistar riders,grindas,-1,-1,W,57.833333333333336,25.7
1080,ESL Challenger Jönköping 2023 Europe Closed Qualifier,2023-10-09,aurora,apeks,28,20,L,68.5,22.4
1081,BLAST Premier Fall Showdown 2023 Americas,2023-10-08,liquid,complexity,-1,13,L,66.16666666666667,25.2
1082,BLAST Premier Fall Showdown 2023 Europe,2023-10-08,big,cloud9,-1,7,L,43.0,24.7
1083,Aveiro TechDays Cup 2023,2023-10-08,saw,ftw,17,-1,L,70.0,26.1
1084,BLAST Premier Fall Showdown 2023 Americas,2023-10-08,complexity,furia,13,15,W,41.0,24.6
1085,A1 Gaming League Season 7,2023-10-07,anonymo,metizport,-1,29,L,41.0,24.6
1086,BLAST Premier Fall Showdown 2023 Europe,2023-10-07,cloud9,g2,7,5,W,54.333333333333336,25.4
1087,BLAST Premier Fall Showdown 2023 Americas,2023-10-07,furia,legacy,15,24,W,60.166666666666664,27.1
1088,ESL Challenger League Season 46 Europe,2023-10-06,movistar riders,betera,-1,-1,L,57.833333333333336,25.7
1089,ESL Challenger League Season 46 Europe,2023-10-06,saw,pompa,17,-1,W,70.0,26.1
1090,ESEA Advanced Season 46 Europe,2023-10-06,singularity,9 pandas,-1,23,W,70.0,26.1
1091,BLAST Premier Fall Showdown 2023 Americas,2023-10-06,complexity,evil geniuses,13,-1,W,41.0,24.6
1092,ESL Challenger League Season 46 Europe,2023-10-06,spirit,rubik,3,-1,W,74.16666666666667,21.3
1093,BLAST Premier Fall Showdown 2023 Europe,2023-10-06,big,ence,-1,12,W,43.0,24.7
1094,ESL Challenger League Season 46 Europe,2023-10-05,space,falcons,-1,10,W,26.4,21.5
1095,ESL Challenger League Season 46 Europe,2023-10-05,monte,parivision,22,-1,W,43.5,21.3
1096,BLAST Premier Fall Showdown 2023 Europe,2023-10-05,g2,og,5,-1,W,52.0,26.0
1097,ESL Challenger League Season 46 Europe,2023-10-05,apeks,the prodigies,20,-1,W,39.166666666666664,25.7
1098,CCT East Europe Series 3 Closed Qualifier,2023-10-05,metizport,zero tenacity,29,-1,W,51.857142857142854,20.7
1099,ESEA Advanced Season 46 Europe,2023-10-05,9 pandas,alternate attax,23,-1,W,51.857142857142854,26.0
1100,BLAST Premier Fall Showdown 2023 Europe,2023-10-05,cloud9,movistar riders,7,-1,W,54.333333333333336,25.4
1101,BLAST Premier Fall Showdown 2023 Americas,2023-10-04,imperial,party astronauts,19,-1,L,70.66666666666667,24.0
1102,BLAST Premier Fall Showdown 2023 Europe,2023-10-04,ence,alliance,12,-1,W,50.5,25.6
1103,BLAST Premier Fall Showdown 2023 Europe,2023-10-04,9ine,big,-1,-1,L,50.5,25.6
1104,ESEA Advanced Season 46 Europe,2023-10-03,big academy,9 pandas,-1,23,L,50.5,25.6
1105,CCT East Europe Series 3 Closed Qualifier,2023-10-01,pge turow,metizport,-1,29,L,37.2,0
1106,ESL Pro League Season 18,2023-10-01,natus vincere,mouz,2,6,L,67.66666666666667,23.4
1107,MEO XL Cup 2023,2023-10-01,alliance,mibr,-1,27,L,41.166666666666664,26.5
1108,CCT East Europe Series 3 Closed Qualifier,2023-10-01,astralis talent,metizport,-1,29,L,42.42857142857143,20.0
1109,ESL Pro League Season 18,2023-09-30,ence,mouz,12,6,L,50.5,25.6
1110,MEO XL Cup 2023,2023-09-30,mibr,ftw,27,-1,W,64.66666666666667,23.5
1111,ESEA Advanced Season 46 Europe,2023-09-30,9 pandas,genone,23,-1,W,51.857142857142854,26.0
1112,ESL Pro League Season 18,2023-09-30,monte,natus vincere,22,2,L,43.5,21.3
1113,ESL Pro League Season 18,2023-09-29,g2,mouz,5,6,L,52.0,26.0
1114,CCT East Europe Series 2,2023-09-29,sprout,apeks,-1,20,W,52.0,26.0
1115,ESL Pro League Season 18,2023-09-29,ence,movistar riders,12,-1,W,50.5,25.6
1116,ESL Pro League Season 18,2023-09-28,natus vincere,eternal fire,2,8,W,67.66666666666667,23.4
1117,CCT East Europe Series 2,2023-09-28,alternate attax,apeks,-1,20,L,38.5,23.6
1118,ESEA Advanced Season 46 Europe,2023-09-28,9 pandas,anonymo,23,-1,W,51.857142857142854,26.0
1119,ESL Pro League Season 18,2023-09-28,vitality,monte,4,22,L,59.0,24.9
1120,ESL Pro League Season 18,2023-09-28,complexity,monte,13,22,L,41.0,24.6
1121,ESL Pro League Season 18,2023-09-27,faze,mouz,1,6,L,55.714285714285715,26.6
1122,ESL Pro League Season 18,2023-09-27,movistar riders,9z,-1,-1,W,57.833333333333336,25.7
1123,CCT East Europe Series 2,2023-09-27,looking4org,betboom,-1,30,W,57.833333333333336,25.7
1124,ESL Pro League Season 18,2023-09-27,big,eternal fire,-1,8,L,43.0,24.7
1125,ESEA Advanced Season 46 Europe,2023-09-27,9 pandas,wu-tang,23,-1,L,51.857142857142854,26.0
1126,ESL Pro League Season 18,2023-09-26,virtus.pro,9z,9,-1,L,65.5,24.3
1127,CCT East Europe Series 2,2023-09-26,aurora,falcons,28,10,W,68.5,22.4
1128,ESL Pro League Season 18,2023-09-26,mouz,furia,6,15,W,57.5,20.5
1129,ESL Pro League Season 18,2023-09-26,fnatic,monte,-1,22,L,51.714285714285715,24.6
1130,ESL Pro League Season 18,2023-09-26,astralis,eternal fire,25,8,L,60.333333333333336,22.6
1131,CCT East Europe Series 2,2023-09-26,apeks,forze,20,-1,W,39.166666666666664,25.7
1132,ESEA Advanced Season 46 Europe,2023-09-26,9 pandas,mouz nxt,23,-1,W,51.857142857142854,26.0
1133,CCT North Europe Series 8,2023-09-25,9 pandas,falcons,23,10,L,51.857142857142854,26.0
1134,CCT 2023 Online Finals 3,2023-09-25,1win,mibr,-1,27,W,51.857142857142854,26.0
1135,CCT North Europe Series 8,2023-09-25,ecstatic,aurora young blud,18,-1,L,63.833333333333336,23.4
1136,CCT 2023 Online Finals 3,2023-09-25,mibr,preasy,27,-1,W,64.66666666666667,23.5
1137,CBCS 2023 Season 2,2023-09-25,bestia,pain,-1,14,W,43.666666666666664,23.9
1138,CBCS 2023 Season 2,2023-09-25,fluxo,pain,-1,14,L,55.0,24.5
1139,ESL Pro League Season 18,2023-09-24,eternal fire,liquid,8,-1,W,59.0,26.5
1140,CCT 2023 Online Finals 3,2023-09-24,1win,mibr,-1,27,W,59.0,26.5
1141,ESL Pro League Season 18,2023-09-24,complexity,g2,13,5,L,41.0,24.6
1142,CCT 2023 Online Finals 3,2023-09-24,monte,preasy,22,-1,L,43.5,21.3
1143,CCT 2023 Online Finals 3,2023-09-24,legacy,alternate attax,24,-1,L,52.285714285714285,23.7
1144,CCT North Europe Series 8,2023-09-24,9 pandas,anonymo,23,-1,L,51.857142857142854,26.0
1145,CCT South America Series 11,2023-09-24,pain,solid,14,-1,W,69.66666666666667,22.0
1146,ESL Pro League Season 18,2023-09-23,eternal fire,cloud9,8,7,W,59.0,26.5
1147,CCT 2023 Online Finals 3,2023-09-23,mibr,legacy,27,24,W,64.66666666666667,23.5
1148,CCT North Europe Series 8,2023-09-23,ecstatic,genone,18,-1,W,63.833333333333336,23.4
1149,ESL Pro League Season 18,2023-09-23,virtus.pro,liquid,9,-1,W,65.5,24.3
1150,CCT 2023 Online Finals 3,2023-09-23,monte,1win,22,-1,L,43.5,21.3
1151,CCT North Europe Series 8,2023-09-23,b8,falcons,-1,10,L,65.5,20.5
1152,CCT South America Series 11,2023-09-23,o plano,pain,-1,14,L,0.0,30.9
1153,CBCS 2023 Season 2,2023-09-22,meta,pain,-1,14,L,0.0,30.9
1154,ESL Pro League Season 18,2023-09-22,cloud9,liquid,7,-1,L,54.333333333333336,25.4
1155,CCT North Europe Series 8,2023-09-22,9 pandas,sprout,23,-1,L,51.857142857142854,26.0
1156,ESL Pro League Season 18,2023-09-22,eternal fire,virtus.pro,8,9,L,59.0,26.5
1157,CCT South America Series 11,2023-09-22,case,pain,-1,14,L,50.5,22.5
1158,CCT South America Series 11,2023-09-22,pain,corinthians,14,-1,W,69.66666666666667,22.0
1159,ESL Pro League Season 18,2023-09-21,virtus.pro,g2,9,5,L,65.5,24.3
1160,ESL Pro League Season 18,2023-09-21,eternal fire,9ine,8,-1,W,59.0,26.5
1161,CCT North Europe Series 8,2023-09-21,falcons,aurora young blud,10,-1,L,44.166666666666664,28.4
1162,CCT 2023 Online Finals 3,2023-09-21,mibr,preasy,27,-1,W,64.66666666666667,23.5
1163,ESL Pro League Season 18,2023-09-21,cloud9,complexity,7,13,L,54.333333333333336,25.4
1164,CCT North Europe Series 8,2023-09-21,ecstatic,pge turow,18,-1,W,63.833333333333336,23.4
1165,CCT 2023 Online Finals 3,2023-09-21,monte,looking4org,22,-1,W,43.5,21.3
1166,ESL Pro League Season 18,2023-09-21,complexity,9ine,13,-1,W,41.0,24.6
1167,ESL Pro League Season 18,2023-09-20,cloud9,eternal fire,7,8,W,54.333333333333336,25.4
1168,ESL Pro League Season 18,2023-09-20,liquid,virtus.pro,-1,9,L,66.16666666666667,25.2
1169,ESL Pro League Season 18,2023-09-20,g2,lynn vision,5,-1,W,52.0,26.0
1170,CCT North Europe Series 8,2023-09-20,9 pandas,genone,23,-1,W,51.857142857142854,26.0
1171,CCT 2023 Online Finals 3,2023-09-19,mibr,havu,27,-1,W,64.66666666666667,23.5
1172,CCT East Europe Series 2,2023-09-19,9 pandas,forze,23,-1,L,51.857142857142854,26.0
1173,CCT North Europe Series 8,2023-09-19,falcons,pge turow,10,-1,W,44.166666666666664,28.4
1174,CCT North Europe Series 8,2023-09-19,ecstatic,anonymo,18,-1,L,63.833333333333336,23.4
1175,CCT East Europe Series 2,2023-09-18,betboom,arcred,30,-1,W,53.0,22.0
1176,Thunderpick World Championship 2023 Europe Series 2,2023-09-18,saw,spirit,17,3,L,70.0,26.1
1177,CCT North Europe Series 8,2023-09-18,ecstatic,zero tenacity,18,-1,L,63.833333333333336,23.4
1178,CCT 2023 Online Finals 3,2023-09-18,monte,selva,22,-1,W,43.5,21.3
1179,CCT East Europe Series 2,2023-09-18,9 pandas,falcons,23,10,L,51.857142857142854,26.0
1180,CBCS 2023 Season 2,2023-09-18,oddik,pain,-1,14,L,40.833333333333336,25.2
1181,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,2023-09-18,cloud9,spirit,7,3,W,54.333333333333336,25.4
1182,CCT North Europe Series 8,2023-09-17,sprout,falcons,-1,10,W,54.333333333333336,25.4
1183,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,2023-09-17,spirit,bad news eagles,3,-1,W,74.16666666666667,21.3
1184,Thunderpick World Championship 2023 Europe Series 2,2023-09-17,into the breach,saw,-1,17,L,74.16666666666667,21.3
1185,ESL Pro League Season 18,2023-09-17,natus vincere,faze,2,1,W,67.66666666666667,23.4
1186,CCT North Europe Series 8,2023-09-17,9 pandas,aurora young blud,23,-1,W,51.857142857142854,26.0
1187,RES Eastern European Masters Fall 2023 - BLAST Premier Qualifier,2023-09-17,eternal fire,cloud9,8,7,L,59.0,26.5
